Receipt ID,Date,Supplier ID,Supplier,Arrival Hour,Units,Arrived On Time,Damage Free,Documents Correct,Dock To Stock Hours
R001546,2026-01-28,SUP03,Cobalt Electronics,9,862,1,1,1,2.6
R001547,2026-01-28,SUP01,Alder Foods,8,1106,0,1,1,3.74
R001548,2026-01-28,SUP01,Alder Foods,20,370,1,1,1,8.4
R001549,2026-01-28,SUP08,Harbor Home,10,960,1,1,1,2.68
R001550,2026-01-28,SUP06,Fjord Outdoor,8,595,1,1,1,2.7
R001551,2026-01-28,SUP01,Alder Foods,11,676,1,1,1,2.16
R001552,2026-01-28,SUP03,Cobalt Electronics,7,358,1,1,1,2.89
R001553,2026-01-28,SUP08,Harbor Home,8,284,1,1,1,2.29
R001554,2026-01-28,SUP09,Iris Kids,18,1305,1,1,1,5.69
R001555,2026-01-28,SUP06,Fjord Outdoor,18,588,1,1,1,7.75
R001556,2026-01-28,SUP04,Delta Apparel,12,730,1,1,1,3.55
R001557,2026-01-28,SUP10,Juniper Kitchen,8,261,1,1,1,2.72
R001558,2026-01-28,SUP02,Brightline Beauty,19,1010,1,1,1,4.56
R001559,2026-01-28,SUP02,Brightline Beauty,14,1025,1,1,1,3.93
R001560,2026-01-28,SUP09,Iris Kids,12,807,0,1,1,4.19
R001561,2026-01-28,SUP02,Brightline Beauty,7,454,1,1,1,2.62
R001562,2026-01-28,SUP02,Brightline Beauty,17,600,1,1,1,6.01
R001563,2026-01-28,SUP09,Iris Kids,7,1164,1,1,1,3.57
R001564,2026-01-28,SUP08,Harbor Home,17,588,1,1,1,6.47
R001565,2026-01-28,SUP02,Brightline Beauty,14,1256,0,1,1,2.66
R001566,2026-01-28,SUP05,Evergreen Pet,6,1373,1,1,1,2.82
R001567,2026-01-28,SUP04,Delta Apparel,16,804,1,1,1,4.31
R001568,2026-01-28,SUP01,Alder Foods,16,480,1,1,0,5.21
R001569,2026-01-28,SUP03,Cobalt Electronics,9,496,0,1,1,3.62
R001570,2026-01-28,SUP08,Harbor Home,15,400,1,1,1,3.76
R001571,2026-01-28,SUP07,Granite Tools,18,412,1,1,1,4.92
R001572,2026-01-28,SUP07,Granite Tools,13,272,1,1,1,2.11
R001573,2026-01-28,SUP01,Alder Foods,12,1093,1,1,1,3.48
R001574,2026-01-28,SUP01,Alder Foods,10,300,0,1,1,3.71
R001575,2026-01-28,SUP08,Harbor Home,11,635,1,1,1,2.51
R001576,2026-01-28,SUP06,Fjord Outdoor,18,1080,1,1,1,5.07
R001577,2026-01-28,SUP01,Alder Foods,15,1255,0,1,1,3.18
R001578,2026-01-28,SUP05,Evergreen Pet,10,1261,0,1,1,3.29
R001579,2026-01-28,SUP01,Alder Foods,10,1321,1,1,1,2.15
R001580,2026-01-28,SUP06,Fjord Outdoor,8,996,0,1,1,3.78
R001581,2026-01-28,SUP07,Granite Tools,10,920,1,1,1,3.34
R001582,2026-01-28,SUP05,Evergreen Pet,16,1396,0,1,1,6.57
R001583,2026-01-28,SUP01,Alder Foods,9,1116,1,1,1,2.23
R001584,2026-01-28,SUP10,Juniper Kitchen,10,1209,1,1,1,2.37
R001585,2026-01-28,SUP03,Cobalt Electronics,15,426,1,1,1,3.0
R001586,2026-01-28,SUP02,Brightline Beauty,14,1224,1,1,1,2.92
R001587,2026-01-29,SUP01,Alder Foods,18,664,0,1,1,6.08
R001588,2026-01-29,SUP04,Delta Apparel,8,1387,1,1,1,3.91
R001589,2026-01-29,SUP02,Brightline Beauty,6,287,1,1,1,3.52
R001590,2026-01-29,SUP04,Delta Apparel,17,430,1,1,1,6.67
R001591,2026-01-29,SUP10,Juniper Kitchen,16,1146,1,1,1,7.8
R001592,2026-01-29,SUP02,Brightline Beauty,15,957,1,1,1,3.18
R001593,2026-01-29,SUP03,Cobalt Electronics,8,529,1,1,1,2.9
R001594,2026-01-29,SUP01,Alder Foods,10,1254,1,1,1,3.24
R001595,2026-01-29,SUP09,Iris Kids,8,360,1,1,1,3.8
R001596,2026-01-29,SUP02,Brightline Beauty,11,1262,1,1,1,3.27
R001597,2026-01-29,SUP03,Cobalt Electronics,7,1341,1,1,1,4.11
R001598,2026-01-29,SUP03,Cobalt Electronics,12,840,1,1,1,2.53
R001599,2026-01-29,SUP03,Cobalt Electronics,17,1283,1,1,1,7.27
R001600,2026-01-29,SUP01,Alder Foods,19,529,1,1,1,5.65
R001601,2026-01-29,SUP02,Brightline Beauty,17,260,1,1,1,6.08
R001602,2026-01-29,SUP10,Juniper Kitchen,13,537,1,1,1,2.57
R001603,2026-01-29,SUP08,Harbor Home,8,1228,1,1,1,2.38
R001604,2026-01-29,SUP10,Juniper Kitchen,13,1086,1,1,1,3.45
R001605,2026-01-29,SUP07,Granite Tools,19,250,1,1,1,7.06
R001606,2026-01-29,SUP02,Brightline Beauty,15,725,1,1,1,2.08
R001607,2026-01-29,SUP04,Delta Apparel,18,338,0,1,1,4.81
R001608,2026-01-29,SUP08,Harbor Home,16,619,1,1,1,4.89
R001609,2026-01-29,SUP06,Fjord Outdoor,11,1293,1,1,1,2.39
R001610,2026-01-29,SUP09,Iris Kids,14,956,1,1,1,3.08
R001611,2026-01-29,SUP08,Harbor Home,16,703,1,1,1,6.31
R001612,2026-01-29,SUP04,Delta Apparel,15,503,1,1,1,3.75
R001613,2026-01-29,SUP01,Alder Foods,6,806,1,1,1,2.27
R001614,2026-01-29,SUP05,Evergreen Pet,13,614,1,1,1,4.15
R001615,2026-01-29,SUP01,Alder Foods,14,1367,1,1,1,3.5
R001616,2026-01-29,SUP06,Fjord Outdoor,14,979,0,1,1,2.44
R001617,2026-01-29,SUP03,Cobalt Electronics,20,1261,1,1,1,5.42
R001618,2026-01-29,SUP03,Cobalt Electronics,17,1144,1,1,1,6.14
R001619,2026-01-29,SUP06,Fjord Outdoor,16,804,1,1,1,5.42
R001620,2026-01-29,SUP09,Iris Kids,21,880,1,1,1,7.44
R001621,2026-01-29,SUP04,Delta Apparel,13,1286,1,1,1,2.81
R001622,2026-01-29,SUP04,Delta Apparel,15,353,1,1,1,2.64
R001623,2026-01-29,SUP05,Evergreen Pet,12,1032,1,1,1,3.73
R001624,2026-01-29,SUP10,Juniper Kitchen,14,403,1,1,1,2.86
R001625,2026-01-29,SUP04,Delta Apparel,13,775,1,1,1,2.71
R001626,2026-01-29,SUP08,Harbor Home,16,458,1,1,1,7.44
R001627,2026-01-29,SUP10,Juniper Kitchen,20,426,1,1,1,6.25
R001628,2026-01-29,SUP01,Alder Foods,17,1084,1,1,1,7.09
R001629,2026-01-29,SUP07,Granite Tools,14,863,1,1,1,3.23
R001630,2026-01-29,SUP08,Harbor Home,9,981,1,1,1,3.68
R001631,2026-01-29,SUP04,Delta Apparel,9,1276,1,1,1,3.08
R001632,2026-01-29,SUP10,Juniper Kitchen,14,910,1,1,1,2.8
R001633,2026-01-29,SUP03,Cobalt Electronics,7,305,1,1,1,2.54
R001634,2026-01-29,SUP08,Harbor Home,14,832,1,1,1,2.77
R001635,2026-01-29,SUP07,Granite Tools,16,350,1,1,1,5.2
R001636,2026-01-29,SUP06,Fjord Outdoor,11,629,1,1,0,2.78
R001637,2026-01-29,SUP10,Juniper Kitchen,10,1353,1,1,1,3.25
R001638,2026-01-29,SUP01,Alder Foods,12,528,1,1,1,2.83
R001639,2026-01-29,SUP10,Juniper Kitchen,10,1169,1,1,1,4.07
R001640,2026-01-29,SUP08,Harbor Home,13,782,1,1,1,2.82
R001641,2026-01-29,SUP01,Alder Foods,11,1359,1,1,1,2.79
R001642,2026-01-29,SUP05,Evergreen Pet,8,899,1,1,1,3.32
R001643,2026-01-29,SUP04,Delta Apparel,11,1193,1,1,1,2.01
R001644,2026-01-29,SUP03,Cobalt Electronics,9,376,1,1,1,2.96
R001645,2026-01-29,SUP05,Evergreen Pet,13,1394,1,1,1,3.91
R001646,2026-01-30,SUP01,Alder Foods,9,522,1,1,1,3.25
R001647,2026-01-30,SUP04,Delta Apparel,16,549,1,1,1,7.04
R001648,2026-01-30,SUP09,Iris Kids,10,310,1,1,1,2.13
R001649,2026-01-30,SUP04,Delta Apparel,17,353,1,1,1,7.42
R001650,2026-01-30,SUP10,Juniper Kitchen,12,1253,0,1,1,2.86
R001651,2026-01-30,SUP04,Delta Apparel,9,420,1,1,0,2.39
R001652,2026-01-30,SUP03,Cobalt Electronics,20,1394,1,1,1,4.89
R001653,2026-01-30,SUP04,Delta Apparel,10,1375,1,1,1,3.3
R001654,2026-01-30,SUP08,Harbor Home,16,828,1,1,1,4.6
R001655,2026-01-30,SUP07,Granite Tools,10,322,1,1,1,3.81
R001656,2026-01-30,SUP10,Juniper Kitchen,8,465,1,1,1,3.66
R001657,2026-01-30,SUP04,Delta Apparel,17,1131,1,1,1,8.54
R001658,2026-01-30,SUP08,Harbor Home,12,584,1,1,1,2.63
R001659,2026-01-30,SUP01,Alder Foods,12,1011,1,1,1,2.04
R001660,2026-01-30,SUP06,Fjord Outdoor,15,1334,0,1,1,2.83
R001661,2026-01-30,SUP02,Brightline Beauty,16,872,1,1,1,6.68
R001662,2026-01-30,SUP08,Harbor Home,9,1109,1,1,1,3.25
R001663,2026-01-30,SUP08,Harbor Home,16,1187,0,1,1,8.09
R001664,2026-01-30,SUP08,Harbor Home,12,588,1,1,1,2.08
R001665,2026-01-30,SUP07,Granite Tools,9,382,1,1,1,2.18
R001666,2026-01-30,SUP10,Juniper Kitchen,15,731,1,1,1,4.03
R001667,2026-01-30,SUP03,Cobalt Electronics,8,400,1,1,1,2.3
R001668,2026-01-30,SUP04,Delta Apparel,18,955,1,1,1,5.03
R001669,2026-01-30,SUP03,Cobalt Electronics,7,1345,0,1,1,3.27
R001670,2026-01-30,SUP10,Juniper Kitchen,10,252,1,1,1,2.91
R001671,2026-01-30,SUP04,Delta Apparel,16,488,1,1,1,4.91
R001672,2026-01-30,SUP10,Juniper Kitchen,13,1200,1,1,1,2.56
R001673,2026-01-30,SUP10,Juniper Kitchen,19,743,0,1,1,6.53
R001674,2026-01-30,SUP05,Evergreen Pet,16,718,1,1,1,4.67
R001675,2026-01-30,SUP09,Iris Kids,15,812,1,1,1,2.05
R001676,2026-01-30,SUP06,Fjord Outdoor,8,1348,0,1,1,3.36
R001677,2026-01-30,SUP02,Brightline Beauty,10,329,1,1,1,2.74
R001678,2026-01-30,SUP08,Harbor Home,17,474,1,1,0,5.67
R001679,2026-01-30,SUP08,Harbor Home,11,565,0,0,1,3.39
R001680,2026-01-30,SUP08,Harbor Home,12,902,1,1,1,3.94
R001681,2026-01-30,SUP03,Cobalt Electronics,13,511,1,1,1,3.89
R001682,2026-01-30,SUP04,Delta Apparel,13,439,1,1,0,3.34
R001683,2026-01-30,SUP05,Evergreen Pet,16,261,1,1,1,8.56
R001684,2026-01-30,SUP07,Granite Tools,9,1288,1,1,1,3.07
R001685,2026-01-30,SUP01,Alder Foods,13,1387,1,1,1,2.73
R001686,2026-01-30,SUP10,Juniper Kitchen,9,604,1,1,1,2.79
R001687,2026-01-30,SUP04,Delta Apparel,15,1350,0,1,1,2.42
R001688,2026-01-30,SUP04,Delta Apparel,9,493,1,1,1,3.57
R001689,2026-01-30,SUP09,Iris Kids,7,567,1,1,1,3.65
R001690,2026-01-30,SUP09,Iris Kids,14,1215,1,1,1,2.76
R001691,2026-01-30,SUP09,Iris Kids,9,1234,1,1,1,3.47
R001692,2026-01-30,SUP08,Harbor Home,15,1191,1,1,1,3.15
R001693,2026-01-30,SUP06,Fjord Outdoor,7,1155,1,1,1,3.2
R001694,2026-01-30,SUP02,Brightline Beauty,9,1174,0,1,1,3.61
R001695,2026-01-30,SUP03,Cobalt Electronics,10,1120,1,1,1,3.78
R001696,2026-01-30,SUP10,Juniper Kitchen,11,580,1,1,1,2.7
R001697,2026-01-30,SUP07,Granite Tools,15,1276,1,1,0,2.73
R001698,2026-01-30,SUP07,Granite Tools,10,934,1,1,1,2.36
R001699,2026-01-30,SUP04,Delta Apparel,9,1373,1,1,1,2.87
R001700,2026-01-30,SUP04,Delta Apparel,12,388,1,1,1,3.5
R001701,2026-01-30,SUP04,Delta Apparel,8,737,1,1,1,2.56
R001702,2026-01-30,SUP01,Alder Foods,12,528,0,1,1,2.22
R001703,2026-01-30,SUP04,Delta Apparel,7,373,1,1,1,3.71
R001704,2026-01-30,SUP01,Alder Foods,6,621,1,1,1,2.33
R001705,2026-01-30,SUP01,Alder Foods,16,933,1,1,1,6.02
R001706,2026-01-30,SUP07,Granite Tools,13,677,0,1,1,2.12
R001707,2026-01-30,SUP09,Iris Kids,11,770,1,1,1,3.47
R001708,2026-01-31,SUP10,Juniper Kitchen,11,409,1,1,1,2.57
R001709,2026-01-31,SUP06,Fjord Outdoor,14,1311,1,1,1,2.93
R001710,2026-01-31,SUP10,Juniper Kitchen,11,1321,1,1,1,2.57
R001711,2026-01-31,SUP08,Harbor Home,17,464,1,1,1,7.99
R001712,2026-01-31,SUP08,Harbor Home,13,631,1,1,1,4.17
R001713,2026-01-31,SUP05,Evergreen Pet,9,404,1,0,1,3.99
R001714,2026-01-31,SUP01,Alder Foods,9,1226,1,1,1,3.7
R001715,2026-01-31,SUP03,Cobalt Electronics,14,897,1,1,1,3.03
R001716,2026-01-31,SUP02,Brightline Beauty,10,791,0,1,1,2.0
R001717,2026-01-31,SUP03,Cobalt Electronics,10,1218,1,1,1,2.53
R001718,2026-01-31,SUP01,Alder Foods,14,1091,1,1,1,2.67
R001719,2026-01-31,SUP06,Fjord Outdoor,10,285,0,1,1,2.52
R001720,2026-01-31,SUP10,Juniper Kitchen,13,1314,1,1,0,2.18
R001721,2026-01-31,SUP05,Evergreen Pet,13,1300,1,1,1,3.29
R001722,2026-01-31,SUP02,Brightline Beauty,10,662,1,1,1,2.91
R001723,2026-01-31,SUP07,Granite Tools,10,1387,1,1,1,3.77
R001724,2026-01-31,SUP02,Brightline Beauty,11,444,1,0,1,2.38
R001725,2026-01-31,SUP03,Cobalt Electronics,13,1357,1,1,1,3.34
R001726,2026-01-31,SUP04,Delta Apparel,17,745,1,1,1,6.95
R001727,2026-01-31,SUP06,Fjord Outdoor,14,977,0,1,1,2.99
R001728,2026-01-31,SUP01,Alder Foods,14,737,1,1,1,2.06
R001729,2026-01-31,SUP05,Evergreen Pet,15,810,1,1,1,3.07
R001730,2026-01-31,SUP02,Brightline Beauty,10,1081,1,1,1,2.43
R001731,2026-01-31,SUP02,Brightline Beauty,14,1353,1,1,1,2.74
R001732,2026-01-31,SUP09,Iris Kids,12,1368,1,1,1,3.08
R001733,2026-01-31,SUP06,Fjord Outdoor,6,978,1,1,1,3.3
R001734,2026-01-31,SUP09,Iris Kids,8,1348,0,1,1,3.9
R001735,2026-01-31,SUP01,Alder Foods,18,1100,1,1,1,5.11
R001736,2026-01-31,SUP05,Evergreen Pet,10,996,1,1,1,3.44
R001737,2026-01-31,SUP07,Granite Tools,8,602,1,1,1,3.32
R001738,2026-01-31,SUP06,Fjord Outdoor,16,1097,1,1,1,4.26
R001739,2026-01-31,SUP09,Iris Kids,8,951,1,1,1,4.05
R001740,2026-01-31,SUP08,Harbor Home,8,1231,1,1,1,2.9
R001741,2026-01-31,SUP08,Harbor Home,14,928,1,1,1,3.83
R001742,2026-01-31,SUP05,Evergreen Pet,6,807,1,1,1,2.47
R001743,2026-01-31,SUP08,Harbor Home,15,1108,0,1,1,3.03
R001744,2026-01-31,SUP08,Harbor Home,13,538,1,1,1,4.04
R001745,2026-01-31,SUP10,Juniper Kitchen,6,1069,1,1,1,3.85
R001746,2026-01-31,SUP05,Evergreen Pet,13,870,1,1,1,3.9
R001747,2026-01-31,SUP02,Brightline Beauty,9,1011,1,1,1,3.68
R001748,2026-01-31,SUP03,Cobalt Electronics,10,385,1,1,1,3.47
R001749,2026-01-31,SUP05,Evergreen Pet,8,810,1,1,1,3.72
R001750,2026-01-31,SUP02,Brightline Beauty,13,271,1,1,1,3.48
R001751,2026-01-31,SUP01,Alder Foods,19,639,1,1,1,4.57
R001752,2026-01-31,SUP04,Delta Apparel,20,1205,1,1,1,7.81
R001753,2026-01-31,SUP06,Fjord Outdoor,15,472,1,1,1,2.15
R001754,2026-01-31,SUP02,Brightline Beauty,19,727,1,1,1,5.94
R001755,2026-01-31,SUP09,Iris Kids,11,525,1,1,1,3.95
R001756,2026-01-31,SUP01,Alder Foods,19,327,1,1,1,4.3
R001757,2026-01-31,SUP10,Juniper Kitchen,13,799,1,1,1,2.77
R001758,2026-01-31,SUP01,Alder Foods,8,818,1,1,1,3.58
R001759,2026-01-31,SUP07,Granite Tools,15,1026,1,1,1,3.06
R001760,2026-01-31,SUP10,Juniper Kitchen,15,1061,1,1,1,2.25
R001761,2026-01-31,SUP01,Alder Foods,11,258,1,1,1,3.62
R001762,2026-01-31,SUP09,Iris Kids,20,941,1,1,1,6.39
R001763,2026-01-31,SUP02,Brightline Beauty,17,1375,1,1,1,5.07
R001764,2026-01-31,SUP10,Juniper Kitchen,19,1165,1,1,1,8.02
R001765,2026-01-31,SUP07,Granite Tools,18,410,0,1,1,6.19
R001766,2026-01-31,SUP01,Alder Foods,7,890,1,1,1,3.22
R001767,2026-01-31,SUP09,Iris Kids,20,1354,1,1,1,4.75
R001768,2026-01-31,SUP10,Juniper Kitchen,10,947,1,1,1,3.39
R001769,2026-01-31,SUP06,Fjord Outdoor,14,708,1,1,1,3.27
R001770,2026-02-01,SUP09,Iris Kids,21,394,0,1,1,7.13
R001771,2026-02-01,SUP05,Evergreen Pet,12,700,1,1,1,2.71
R001772,2026-02-01,SUP10,Juniper Kitchen,6,1088,1,1,1,3.09
R001773,2026-02-01,SUP08,Harbor Home,20,772,1,1,1,8.67
R001774,2026-02-01,SUP09,Iris Kids,15,610,1,1,1,4.1
R001775,2026-02-01,SUP01,Alder Foods,9,567,1,1,1,2.75
R001776,2026-02-01,SUP03,Cobalt Electronics,9,638,1,1,1,3.25
R001777,2026-02-01,SUP01,Alder Foods,9,352,1,1,1,3.43
R001778,2026-02-01,SUP03,Cobalt Electronics,11,429,1,1,1,3.03
R001779,2026-02-01,SUP01,Alder Foods,20,636,1,1,1,6.02
R001780,2026-02-01,SUP06,Fjord Outdoor,9,832,1,1,0,3.25
R001781,2026-02-01,SUP08,Harbor Home,11,353,1,1,1,2.94
R001782,2026-02-01,SUP08,Harbor Home,10,1191,1,0,1,2.22
R001783,2026-02-01,SUP08,Harbor Home,11,785,1,1,1,3.16
R001784,2026-02-01,SUP06,Fjord Outdoor,19,1387,0,1,1,5.19
R001785,2026-02-01,SUP08,Harbor Home,15,1372,1,1,1,2.49
R001786,2026-02-01,SUP03,Cobalt Electronics,11,642,1,1,1,2.94
R001787,2026-02-01,SUP06,Fjord Outdoor,8,993,0,1,1,2.37
R001788,2026-02-01,SUP08,Harbor Home,9,1146,1,1,1,3.91
R001789,2026-02-01,SUP08,Harbor Home,9,251,1,1,1,3.43
R001790,2026-02-01,SUP06,Fjord Outdoor,13,295,1,1,1,3.04
R001791,2026-02-01,SUP03,Cobalt Electronics,14,462,1,1,1,3.97
R001792,2026-02-01,SUP04,Delta Apparel,14,836,1,1,1,3.61
R001793,2026-02-01,SUP04,Delta Apparel,17,1241,1,1,1,4.73
R001794,2026-02-01,SUP04,Delta Apparel,18,622,1,1,1,5.49
R001795,2026-02-01,SUP01,Alder Foods,16,604,1,1,1,4.73
R001796,2026-02-01,SUP01,Alder Foods,21,454,1,1,1,6.44
R001797,2026-02-01,SUP10,Juniper Kitchen,12,822,0,1,1,2.81
R001798,2026-02-01,SUP09,Iris Kids,9,889,1,1,1,3.65
R001799,2026-02-01,SUP01,Alder Foods,18,776,1,1,1,5.05
R001800,2026-02-01,SUP06,Fjord Outdoor,18,1052,0,1,1,4.85
R001801,2026-02-01,SUP08,Harbor Home,13,800,1,0,1,2.2
R001802,2026-02-01,SUP03,Cobalt Electronics,16,404,1,1,1,5.65
R001803,2026-02-01,SUP06,Fjord Outdoor,14,665,1,1,1,2.2
R001804,2026-02-01,SUP08,Harbor Home,9,315,0,1,1,3.99
R001805,2026-02-01,SUP06,Fjord Outdoor,9,1362,1,1,1,3.17
R001806,2026-02-01,SUP06,Fjord Outdoor,16,924,1,1,1,4.88
R001807,2026-02-01,SUP03,Cobalt Electronics,9,424,1,1,1,3.62
R001808,2026-02-01,SUP04,Delta Apparel,12,637,1,1,1,2.22
R001809,2026-02-01,SUP01,Alder Foods,9,611,1,1,1,2.14
R001810,2026-02-01,SUP03,Cobalt Electronics,12,975,1,1,1,2.26
R001811,2026-02-01,SUP04,Delta Apparel,11,691,1,1,1,2.55
R001812,2026-02-02,SUP09,Iris Kids,8,1154,1,1,1,3.3
R001813,2026-02-02,SUP03,Cobalt Electronics,9,1282,1,1,1,3.26
R001814,2026-02-02,SUP02,Brightline Beauty,14,1024,1,1,1,2.42
R001815,2026-02-02,SUP02,Brightline Beauty,13,421,1,1,0,3.09
R001816,2026-02-02,SUP08,Harbor Home,10,1123,1,1,1,3.34
R001817,2026-02-02,SUP08,Harbor Home,9,1110,1,1,1,3.28
R001818,2026-02-02,SUP01,Alder Foods,11,951,1,1,1,2.99
R001819,2026-02-02,SUP07,Granite Tools,18,1031,1,1,1,6.38
R001820,2026-02-02,SUP05,Evergreen Pet,9,618,1,1,1,3.54
R001821,2026-02-02,SUP01,Alder Foods,12,353,1,1,1,3.03
R001822,2026-02-02,SUP04,Delta Apparel,19,1071,1,1,1,6.18
R001823,2026-02-02,SUP09,Iris Kids,6,358,1,1,1,2.46
R001824,2026-02-02,SUP04,Delta Apparel,9,1223,0,1,1,2.14
R001825,2026-02-02,SUP10,Juniper Kitchen,13,969,1,1,1,2.63
R001826,2026-02-02,SUP03,Cobalt Electronics,17,386,1,1,1,8.58
R001827,2026-02-02,SUP06,Fjord Outdoor,11,351,1,1,1,3.7
R001828,2026-02-02,SUP03,Cobalt Electronics,12,269,1,1,1,3.97
R001829,2026-02-02,SUP03,Cobalt Electronics,15,964,1,1,1,2.12
R001830,2026-02-02,SUP08,Harbor Home,11,453,1,1,1,2.2
R001831,2026-02-02,SUP03,Cobalt Electronics,13,1235,1,1,1,2.84
R001832,2026-02-02,SUP08,Harbor Home,9,578,1,1,1,3.54
R001833,2026-02-02,SUP05,Evergreen Pet,21,1366,1,1,1,8.02
R001834,2026-02-02,SUP05,Evergreen Pet,9,1257,1,1,1,2.49
R001835,2026-02-02,SUP10,Juniper Kitchen,19,730,1,1,1,7.23
R001836,2026-02-02,SUP03,Cobalt Electronics,8,369,1,1,1,3.71
R001837,2026-02-02,SUP03,Cobalt Electronics,13,1303,0,1,1,4.19
R001838,2026-02-02,SUP01,Alder Foods,10,500,1,1,1,2.62
R001839,2026-02-02,SUP04,Delta Apparel,6,1089,1,1,1,2.57
R001840,2026-02-02,SUP08,Harbor Home,14,1209,0,1,1,3.23
R001841,2026-02-02,SUP01,Alder Foods,13,1150,0,1,1,4.19
R001842,2026-02-02,SUP08,Harbor Home,6,617,1,1,1,3.87
R001843,2026-02-02,SUP08,Harbor Home,13,1196,1,0,1,3.99
R001844,2026-02-02,SUP09,Iris Kids,10,1020,1,1,1,2.34
R001845,2026-02-02,SUP05,Evergreen Pet,13,250,1,1,1,3.22
R001846,2026-02-02,SUP06,Fjord Outdoor,11,1038,1,1,1,3.21
R001847,2026-02-02,SUP10,Juniper Kitchen,18,1199,1,1,0,7.87
R001848,2026-02-02,SUP01,Alder Foods,8,1290,1,1,1,3.57
R001849,2026-02-02,SUP02,Brightline Beauty,12,1133,1,1,1,3.78
R001850,2026-02-02,SUP02,Brightline Beauty,16,1341,1,1,1,5.77
R001851,2026-02-02,SUP08,Harbor Home,14,1225,1,1,1,3.94
R001852,2026-02-02,SUP01,Alder Foods,10,810,1,1,1,3.77
R001853,2026-02-02,SUP10,Juniper Kitchen,17,1145,0,1,1,8.04
R001854,2026-02-02,SUP02,Brightline Beauty,12,1039,1,1,1,2.8
R001855,2026-02-02,SUP10,Juniper Kitchen,10,1334,1,1,1,3.44
R001856,2026-02-02,SUP03,Cobalt Electronics,10,829,1,1,1,3.88
R001857,2026-02-02,SUP04,Delta Apparel,17,300,1,1,1,4.85
R001858,2026-02-02,SUP03,Cobalt Electronics,11,677,0,1,1,2.37
R001859,2026-02-02,SUP06,Fjord Outdoor,12,491,0,1,1,2.76
R001860,2026-02-02,SUP01,Alder Foods,9,539,1,1,1,4.07
R001861,2026-02-02,SUP02,Brightline Beauty,16,579,1,1,0,5.51
R001862,2026-02-02,SUP01,Alder Foods,15,696,0,1,1,2.92
R001863,2026-02-02,SUP01,Alder Foods,19,1232,1,1,1,8.47
R001864,2026-02-02,SUP08,Harbor Home,20,1324,1,1,1,5.14
R001865,2026-02-02,SUP07,Granite Tools,11,1193,1,1,1,3.83
R001866,2026-02-02,SUP03,Cobalt Electronics,10,519,1,1,1,3.42
R001867,2026-02-02,SUP07,Granite Tools,11,293,0,1,1,2.75
R001868,2026-02-02,SUP02,Brightline Beauty,18,1048,0,1,1,4.74
R001869,2026-02-02,SUP04,Delta Apparel,12,754,1,1,1,3.01
R001870,2026-02-02,SUP02,Brightline Beauty,13,1368,1,1,1,2.59
R001871,2026-02-02,SUP05,Evergreen Pet,6,1203,1,1,1,3.0
R001872,2026-02-02,SUP09,Iris Kids,7,777,1,1,1,3.14
R001873,2026-02-02,SUP02,Brightline Beauty,9,268,1,1,1,3.05
R001874,2026-02-03,SUP01,Alder Foods,9,489,1,1,1,2.14
R001875,2026-02-03,SUP10,Juniper Kitchen,14,973,1,1,1,2.49
R001876,2026-02-03,SUP04,Delta Apparel,7,448,1,1,1,2.8
R001877,2026-02-03,SUP03,Cobalt Electronics,21,434,1,1,1,8.56
R001878,2026-02-03,SUP08,Harbor Home,10,734,1,1,1,2.44
R001879,2026-02-03,SUP03,Cobalt Electronics,9,1233,1,1,1,3.68
R001880,2026-02-03,SUP08,Harbor Home,13,1180,0,1,1,3.55
R001881,2026-02-03,SUP04,Delta Apparel,10,1067,1,1,1,2.42
R001882,2026-02-03,SUP10,Juniper Kitchen,12,1220,1,1,1,2.93
R001883,2026-02-03,SUP08,Harbor Home,14,504,0,1,1,2.51
R001884,2026-02-03,SUP01,Alder Foods,18,310,1,1,1,7.44
R001885,2026-02-03,SUP10,Juniper Kitchen,8,706,1,1,1,2.82
R001886,2026-02-03,SUP06,Fjord Outdoor,17,267,1,1,1,5.83
R001887,2026-02-03,SUP04,Delta Apparel,6,1045,1,1,1,3.4
R001888,2026-02-03,SUP03,Cobalt Electronics,8,276,1,1,0,3.27
R001889,2026-02-03,SUP03,Cobalt Electronics,12,1125,1,1,1,2.33
R001890,2026-02-03,SUP04,Delta Apparel,7,1107,1,1,1,2.92
R001891,2026-02-03,SUP04,Delta Apparel,14,1194,1,1,1,3.82
R001892,2026-02-03,SUP07,Granite Tools,8,720,1,1,1,3.66
R001893,2026-02-03,SUP02,Brightline Beauty,15,366,1,1,1,3.78
R001894,2026-02-03,SUP02,Brightline Beauty,13,648,1,1,1,2.01
R001895,2026-02-03,SUP04,Delta Apparel,15,1013,1,1,1,3.99
R001896,2026-02-03,SUP05,Evergreen Pet,9,641,1,1,1,2.83
R001897,2026-02-03,SUP07,Granite Tools,14,395,0,1,1,2.66
R001898,2026-02-03,SUP03,Cobalt Electronics,14,1085,1,1,1,4.16
R001899,2026-02-03,SUP04,Delta Apparel,15,658,0,1,0,2.16
R001900,2026-02-03,SUP04,Delta Apparel,15,948,0,1,1,2.66
R001901,2026-02-03,SUP07,Granite Tools,17,898,0,1,1,7.13
R001902,2026-02-03,SUP04,Delta Apparel,14,693,1,1,1,2.82
R001903,2026-02-03,SUP04,Delta Apparel,13,1377,1,1,1,2.3
R001904,2026-02-03,SUP07,Granite Tools,14,307,1,1,1,3.14
