주문번호,주문일자,매장코드,제품코드,수량,정가,할인율,매출액,원가
O20240209-001040,2024-02-09,S12,P015,1,69000,0.0,69000,27600
O20240209-001041,2024-02-09,S12,P024,2,19900,0.0,39800,21890
O20240209-001042,2024-02-09,S13,P006,1,329000,0.0,329000,217140
O20240209-001043,2024-02-09,S14,P033,1,18900,0.0,18900,10395
O20240209-001044,2024-02-09,ON1,P024,4,19900,0.1,71640,43780
O20240209-001045,2024-02-09,ON1,P034,1,69000,0.05,65550,31740
O20240209-001046,2024-02-09,ON2,P011,1,129000,0.0,129000,58050
O20240209-001047,2024-02-09,ON2,P046,4,16900,0.05,64220,24336
O20240210-001048,2024-02-10,S01,P028,1,89000,0.0,89000,44500
O20240210-001049,2024-02-10,S01,P032,2,29900,0.1,53820,26910
O20240210-001050,2024-02-10,S02,P021,2,159000,0.0,318000,222600
O20240210-001051,2024-02-10,S02,P035,1,15900,0.0,15900,6678
O20240210-001052,2024-02-10,S04,P022,1,29000,0.0,29000,17980
O20240210-001053,2024-02-10,S04,P033,1,18900,0.1,17010,10395
O20240210-001054,2024-02-10,S04,P048,3,98000,0.2,235200,111720
O20240210-001055,2024-02-10,S06,P012,1,189000,0.2,151200,79380
O20240210-001056,2024-02-10,S06,P027,2,8900,0.0,17800,9256
O20240210-001057,2024-02-10,S06,P032,1,29900,0.0,29900,13455
O20240210-001058,2024-02-10,S09,P016,1,119000,0.0,119000,59500
O20240210-001059,2024-02-10,S10,P017,1,89000,0.05,84550,39160
O20240210-001060,2024-02-10,S12,P037,1,27000,0.1,24300,10800
O20240210-001061,2024-02-10,S14,P003,1,459000,0.05,436050,321300
O20240210-001062,2024-02-10,ON1,P012,2,189000,0.0,378000,158760
O20240210-001063,2024-02-10,ON1,P022,5,29000,0.3,101500,89900
O20240210-001064,2024-02-10,ON2,P025,1,24900,0.05,23655,14442
O20240210-001065,2024-02-10,ON2,P033,1,18900,0.2,15120,10395
O20240211-001066,2024-02-11,S01,P015,2,69000,0.0,138000,55200
O20240211-001067,2024-02-11,S01,P022,1,29000,0.0,29000,17980
O20240211-001068,2024-02-11,S01,P047,2,15000,0.05,28500,10200
O20240211-001069,2024-02-11,S03,P004,1,189000,0.0,189000,139860
O20240211-001070,2024-02-11,S03,P022,1,29000,0.0,29000,17980
O20240211-001071,2024-02-11,S04,P025,1,24900,0.0,24900,14442
O20240211-001072,2024-02-11,S07,P037,1,27000,0.05,25650,10800
O20240211-001073,2024-02-11,S08,P003,1,459000,0.1,413100,321300
O20240211-001074,2024-02-11,S08,P041,1,38000,0.0,38000,11400
O20240211-001075,2024-02-11,S11,P033,1,18900,0.2,15120,10395
O20240211-001076,2024-02-11,S12,P005,1,149000,0.0,149000,101320
O20240211-001077,2024-02-11,S12,P027,2,8900,0.0,17800,9256
O20240211-001078,2024-02-11,S13,P037,2,27000,0.0,54000,21600
O20240211-001079,2024-02-11,S15,P012,2,189000,0.05,359100,158760
O20240211-001080,2024-02-11,ON1,P028,1,89000,0.0,89000,44500
O20240211-001081,2024-02-11,ON2,P044,1,42000,0.05,39900,13860
O20240212-001082,2024-02-12,S01,P003,1,459000,0.0,459000,321300
O20240212-001083,2024-02-12,S01,P015,2,69000,0.1,124200,55200
O20240212-001084,2024-02-12,S02,P021,5,159000,0.2,636000,556500
O20240212-001085,2024-02-12,S07,P024,1,19900,0.0,19900,10945
O20240212-001086,2024-02-12,S15,P033,1,18900,0.2,15120,10395
O20240212-001087,2024-02-12,S15,P047,2,15000,0.0,30000,10200
O20240212-001088,2024-02-12,ON2,P001,1,2190000,0.1,1971000,1708200
O20240212-001089,2024-02-12,ON2,P024,1,19900,0.0,19900,10945
O20240213-001090,2024-02-13,S01,P021,1,159000,0.0,159000,111300
O20240213-001091,2024-02-13,S01,P038,1,49000,0.05,46550,23030
O20240213-001092,2024-02-13,S02,P014,1,45000,0.0,45000,17100
O20240213-001093,2024-02-13,S03,P027,2,8900,0.0,17800,9256
O20240213-001094,2024-02-13,S04,P024,1,19900,0.0,19900,10945
O20240213-001095,2024-02-13,S04,P042,2,22000,0.1,39600,14080
O20240213-001096,2024-02-13,S06,P006,2,329000,0.0,658000,434280
O20240213-001097,2024-02-13,S06,P013,1,59000,0.05,56050,23600
O20240213-001098,2024-02-13,S07,P021,1,159000,0.2,127200,111300
O20240213-001099,2024-02-13,S07,P038,1,49000,0.1,44100,23030
O20240213-001100,2024-02-13,S09,P026,3,12900,0.0,38700,18576
O20240213-001101,2024-02-13,S10,P021,4,159000,0.1,572400,445200
O20240213-001102,2024-02-13,S11,P042,2,22000,0.2,35200,14080
O20240213-001103,2024-02-13,S12,P044,1,42000,0.0,42000,13860
O20240213-001104,2024-02-13,S13,P007,1,219000,0.05,208050,140160
O20240213-001105,2024-02-13,S14,P012,2,189000,0.0,378000,158760
O20240213-001106,2024-02-13,S15,P023,1,42000,0.0,42000,27720
O20240213-001107,2024-02-13,S16,P027,4,8900,0.05,33820,18512
O20240213-001108,2024-02-13,S17,P043,2,45000,0.0,90000,25200
O20240213-001109,2024-02-13,ON1,P015,3,69000,0.2,165600,82800
O20240213-001110,2024-02-13,ON1,P035,2,15900,0.2,25440,13356
O20240213-001111,2024-02-13,ON2,P002,1,689000,0.1,620100,496080
O20240214-001112,2024-02-14,S02,P022,2,29000,0.0,58000,35960
O20240214-001113,2024-02-14,S03,P025,2,24900,0.0,49800,28884
O20240214-001114,2024-02-14,S03,P036,2,32000,0.05,60800,22400
O20240214-001115,2024-02-14,S04,P026,1,12900,0.0,12900,6192
O20240214-001116,2024-02-14,S06,P021,4,159000,0.0,636000,445200
O20240214-001117,2024-02-14,S08,P004,1,189000,0.0,189000,139860
O20240214-001118,2024-02-14,S08,P014,1,45000,0.1,40500,17100
O20240214-001119,2024-02-14,S10,P002,1,689000,0.0,689000,496080
O20240214-001120,2024-02-14,S10,P027,1,8900,0.2,7120,4628
O20240214-001121,2024-02-14,S13,P033,1,18900,0.05,17955,10395
O20240214-001122,2024-02-14,S15,P026,3,12900,0.0,38700,18576
O20240214-001123,2024-02-14,S15,P032,2,29900,0.0,59800,26910
O20240214-001124,2024-02-14,ON1,P016,2,119000,0.1,214200,119000
O20240214-001125,2024-02-14,ON1,P022,4,29000,0.0,116000,71920
O20240214-001126,2024-02-14,ON1,P032,1,29900,0.2,23920,13455
O20240214-001127,2024-02-14,ON1,P045,1,29000,0.0,29000,8700
O20240214-001128,2024-02-14,ON2,P032,1,29900,0.0,29900,13455
O20240215-001129,2024-02-15,S01,P026,1,12900,0.0,12900,6192
O20240215-001130,2024-02-15,S02,P017,1,89000,0.05,84550,39160
O20240215-001131,2024-02-15,S06,P036,1,32000,0.1,28800,11200
O20240215-001132,2024-02-15,S08,P033,1,18900,0.0,18900,10395
O20240215-001133,2024-02-15,S10,P038,1,49000,0.05,46550,23030
O20240215-001134,2024-02-15,S11,P022,4,29000,0.05,110200,71920
O20240215-001135,2024-02-15,S12,P048,1,98000,0.0,98000,37240
O20240215-001136,2024-02-15,S13,P032,1,29900,0.05,28405,13455
O20240215-001137,2024-02-15,S13,P048,1,98000,0.05,93100,37240
O20240215-001138,2024-02-15,S15,P001,1,2190000,0.1,1971000,1708200
O20240215-001139,2024-02-15,S17,P021,5,159000,0.0,795000,556500
O20240215-001140,2024-02-15,ON1,P012,1,189000,0.0,189000,79380
O20240215-001141,2024-02-15,ON1,P022,1,29000,0.0,29000,17980
O20240215-001142,2024-02-15,ON2,P012,1,189000,0.0,189000,79380
O20240215-001143,2024-02-15,ON2,P038,1,49000,0.0,49000,23030
O20240216-001144,2024-02-16,S01,P011,2,129000,0.0,258000,116100
O20240216-001145,2024-02-16,S01,P033,2,18900,0.0,37800,20790
O20240216-001146,2024-02-16,S02,P041,2,38000,0.05,72200,22800
O20240216-001147,2024-02-16,S03,P021,1,159000,0.0,159000,111300
O20240216-001148,2024-02-16,S04,P033,3,18900,0.05,53865,31185
O20240216-001149,2024-02-16,S06,P024,5,19900,0.0,99500,54725
O20240216-001150,2024-02-16,S06,P031,1,79000,0.2,63200,37920
O20240216-001151,2024-02-16,S08,P034,1,69000,0.0,69000,31740
O20240216-001152,2024-02-16,S09,P024,4,19900,0.0,79600,43780
O20240216-001153,2024-02-16,S11,P047,1,15000,0.0,15000,5100
O20240216-001154,2024-02-16,ON1,P016,1,119000,0.05,113050,59500
O20240216-001155,2024-02-16,ON2,P042,2,22000,0.05,41800,14080
O20240217-001156,2024-02-17,S01,P024,1,19900,0.0,19900,10945
O20240217-001157,2024-02-17,S01,P045,1,29000,0.05,27550,8700
O20240217-001158,2024-02-17,S02,P031,2,79000,0.05,150100,75840
O20240217-001159,2024-02-17,S04,P002,1,689000,0.0,689000,496080
O20240217-001160,2024-02-17,S06,P025,1,24900,0.0,24900,14442
O20240217-001161,2024-02-17,S08,P014,1,45000,0.2,36000,17100
O20240217-001162,2024-02-17,S08,P022,1,29000,0.0,29000,17980
O20240217-001163,2024-02-17,S09,P004,1,189000,0.0,189000,139860
O20240217-001164,2024-02-17,S09,P032,1,29900,0.1,26910,13455
O20240217-001165,2024-02-17,S11,P015,1,69000,0.0,69000,27600
O20240217-001166,2024-02-17,S12,P018,1,79000,0.0,79000,32390
O20240217-001167,2024-02-17,S18,P024,2,19900,0.05,37810,21890
O20240217-001168,2024-02-17,ON1,P012,1,189000,0.0,189000,79380
O20240217-001169,2024-02-17,ON1,P028,4,89000,0.0,356000,178000
O20240217-001170,2024-02-17,ON2,P007,2,219000,0.05,416100,280320
O20240217-001171,2024-02-17,ON2,P013,3,59000,0.0,177000,70800
O20240217-001172,2024-02-17,ON2,P023,1,42000,0.0,42000,27720
O20240217-001173,2024-02-17,ON2,P043,5,45000,0.1,202500,63000
O20240218-001174,2024-02-18,S01,P014,1,45000,0.2,36000,17100
O20240218-001175,2024-02-18,S01,P031,1,79000,0.05,75050,37920
O20240218-001176,2024-02-18,S01,P043,2,45000,0.3,63000,25200
O20240218-001177,2024-02-18,S02,P007,1,219000,0.0,219000,140160
O20240218-001178,2024-02-18,S02,P013,2,59000,0.0,118000,47200
O20240218-001179,2024-02-18,S03,P016,1,119000,0.0,119000,59500
O20240218-001180,2024-02-18,S03,P025,4,24900,0.1,89640,57768
O20240218-001181,2024-02-18,S06,P013,1,59000,0.2,47200,23600
O20240218-001182,2024-02-18,S07,P015,1,69000,0.0,69000,27600
O20240218-001183,2024-02-18,S09,P006,1,329000,0.1,296100,217140
O20240218-001184,2024-02-18,S09,P033,1,18900,0.05,17955,10395
O20240218-001185,2024-02-18,S11,P012,1,189000,0.2,151200,79380
O20240218-001186,2024-02-18,S11,P038,1,49000,0.05,46550,23030
O20240218-001187,2024-02-18,S12,P045,2,29000,0.05,55100,17400
O20240218-001188,2024-02-18,S16,P035,1,15900,0.2,12720,6678
O20240218-001189,2024-02-18,S18,P015,1,69000,0.0,69000,27600
O20240218-001190,2024-02-18,ON1,P047,2,15000,0.1,27000,10200
O20240218-001191,2024-02-18,ON2,P024,3,19900,0.0,59700,32835
O20240219-001192,2024-02-19,S01,P016,1,119000,0.0,119000,59500
O20240219-001193,2024-02-19,S02,P014,1,45000,0.3,31500,17100
O20240219-001194,2024-02-19,S02,P026,1,12900,0.2,10320,6192
O20240219-001195,2024-02-19,S03,P026,3,12900,0.0,38700,18576
O20240219-001196,2024-02-19,S03,P032,1,29900,0.0,29900,13455
O20240219-001197,2024-02-19,S03,P045,2,29000,0.0,58000,17400
O20240219-001198,2024-02-19,S09,P017,1,89000,0.0,89000,39160
O20240219-001199,2024-02-19,S12,P012,1,189000,0.1,170100,79380
O20240219-001200,2024-02-19,S12,P043,5,45000,0.0,225000,63000
O20240219-001201,2024-02-19,S13,P027,1,8900,0.0,8900,4628
O20240219-001202,2024-02-19,S15,P034,1,69000,0.0,69000,31740
O20240219-001203,2024-02-19,ON1,P026,2,12900,0.05,24510,12384
O20240219-001204,2024-02-19,ON1,P038,1,49000,0.1,44100,23030
O20240219-001205,2024-02-19,ON2,P004,1,189000,0.1,170100,139860
O20240219-001206,2024-02-19,ON2,P021,1,159000,0.0,159000,111300
O20240219-001207,2024-02-19,ON2,P046,1,16900,0.1,15210,6084
O20240220-001208,2024-02-20,S01,P027,2,8900,0.0,17800,9256
O20240220-001209,2024-02-20,S03,P015,1,69000,0.05,65550,27600
O20240220-001210,2024-02-20,S03,P023,1,42000,0.05,39900,27720
O20240220-001211,2024-02-20,S04,P023,2,42000,0.3,58800,55440
O20240220-001212,2024-02-20,S06,P018,1,79000,0.1,71100,32390
O20240220-001213,2024-02-20,S08,P016,1,119000,0.0,119000,59500
O20240220-001214,2024-02-20,S08,P036,2,32000,0.0,64000,22400
O20240220-001215,2024-02-20,S09,P015,1,69000,0.1,62100,27600
O20240220-001216,2024-02-20,S09,P021,1,159000,0.0,159000,111300
O20240220-001217,2024-02-20,S10,P014,2,45000,0.0,90000,34200
O20240220-001218,2024-02-20,S12,P025,2,24900,0.0,49800,28884
O20240220-001219,2024-02-20,ON1,P014,2,45000,0.0,90000,34200
O20240220-001220,2024-02-20,ON2,P005,1,149000,0.3,104300,101320
O20240220-001221,2024-02-20,ON2,P043,1,45000,0.0,45000,12600
O20240221-001222,2024-02-21,S01,P043,1,45000,0.0,45000,12600
O20240221-001223,2024-02-21,S02,P037,1,27000,0.1,24300,10800
O20240221-001224,2024-02-21,S03,P035,1,15900,0.1,14310,6678
O20240221-001225,2024-02-21,S04,P015,1,69000,0.0,69000,27600
O20240221-001226,2024-02-21,S07,P034,1,69000,0.0,69000,31740
O20240221-001227,2024-02-21,S09,P043,2,45000,0.0,90000,25200
O20240221-001228,2024-02-21,S10,P023,3,42000,0.0,126000,83160
O20240221-001229,2024-02-21,S11,P012,1,189000,0.0,189000,79380
O20240221-001230,2024-02-21,S14,P006,1,329000,0.0,329000,217140
O20240221-001231,2024-02-21,S15,P038,1,49000,0.0,49000,23030
O20240221-001232,2024-02-21,S16,P008,1,129000,0.0,129000,79980
O20240221-001233,2024-02-21,ON1,P005,1,149000,0.0,149000,101320
O20240221-001234,2024-02-21,ON1,P013,2,59000,0.05,112100,47200
O20240221-001235,2024-02-21,ON1,P021,1,159000,0.2,127200,111300
O20240221-001236,2024-02-21,ON1,P048,1,98000,0.0,98000,37240
O20240222-001237,2024-02-22,S01,P015,2,69000,0.0,138000,55200
O20240222-001238,2024-02-22,S01,P026,2,12900,0.0,25800,12384
O20240222-001239,2024-02-22,S02,P011,1,129000,0.0,129000,58050
O20240222-001240,2024-02-22,S04,P021,1,159000,0.1,143100,111300
O20240222-001241,2024-02-22,S04,P043,2,45000,0.0,90000,25200
O20240222-001242,2024-02-22,S06,P047,2,15000,0.0,30000,10200
O20240222-001243,2024-02-22,S07,P028,2,89000,0.0,178000,89000
O20240222-001244,2024-02-22,S07,P031,1,79000,0.0,79000,37920
O20240222-001245,2024-02-22,S10,P002,1,689000,0.0,689000,496080
O20240222-001246,2024-02-22,S11,P024,2,19900,0.0,39800,21890
O20240222-001247,2024-02-22,S12,P012,2,189000,0.0,378000,158760
O20240222-001248,2024-02-22,S13,P028,2,89000,0.0,178000,89000
O20240222-001249,2024-02-22,S16,P013,1,59000,0.05,56050,23600
O20240222-001250,2024-02-22,S17,P015,1,69000,0.0,69000,27600
O20240222-001251,2024-02-22,ON1,P026,2,12900,0.0,25800,12384
O20240222-001252,2024-02-22,ON1,P032,1,29900,0.2,23920,13455
O20240222-001253,2024-02-22,ON2,P012,2,189000,0.0,378000,158760
O20240222-001254,2024-02-22,ON2,P036,1,32000,0.0,32000,11200
O20240222-001255,2024-02-22,ON2,P041,1,38000,0.1,34200,11400
O20240223-001256,2024-02-23,S01,P021,1,159000,0.1,143100,111300
O20240223-001257,2024-02-23,S01,P035,1,15900,0.0,15900,6678
O20240223-001258,2024-02-23,S01,P046,1,16900,0.05,16055,6084
O20240223-001259,2024-02-23,S02,P014,1,45000,0.0,45000,17100
O20240223-001260,2024-02-23,S02,P035,1,15900,0.05,15105,6678
O20240223-001261,2024-02-23,S02,P042,1,22000,0.0,22000,7040
O20240223-001262,2024-02-23,S03,P025,2,24900,0.0,49800,28884
O20240223-001263,2024-02-23,S06,P036,2,32000,0.05,60800,22400
O20240223-001264,2024-02-23,S07,P031,1,79000,0.1,71100,37920
O20240223-001265,2024-02-23,S08,P013,1,59000,0.2,47200,23600
O20240223-001266,2024-02-23,S09,P033,3,18900,0.05,53865,31185
O20240223-001267,2024-02-23,S09,P046,1,16900,0.0,16900,6084
O20240223-001268,2024-02-23,S10,P034,1,69000,0.0,69000,31740
O20240223-001269,2024-02-23,S11,P046,4,16900,0.05,64220,24336
O20240223-001270,2024-02-23,S16,P015,1,69000,0.0,69000,27600
O20240223-001271,2024-02-23,S18,P028,3,89000,0.0,267000,133500
O20240223-001272,2024-02-23,ON1,P012,2,189000,0.0,378000,158760
O20240223-001273,2024-02-23,ON1,P031,2,79000,0.1,142200,75840
O20240223-001274,2024-02-23,ON2,P025,3,24900,0.0,74700,43326
O20240224-001275,2024-02-24,S01,P008,2,129000,0.0,258000,159960
O20240224-001276,2024-02-24,S01,P026,3,12900,0.05,36765,18576
O20240224-001277,2024-02-24,S03,P001,1,2190000,0.1,1971000,1708200
O20240224-001278,2024-02-24,S03,P018,2,79000,0.0,158000,64780
O20240224-001279,2024-02-24,S03,P046,4,16900,0.2,54080,24336
O20240224-001280,2024-02-24,S04,P008,1,129000,0.05,122550,79980
O20240224-001281,2024-02-24,S04,P015,1,69000,0.0,69000,27600
O20240224-001282,2024-02-24,S04,P021,1,159000,0.1,143100,111300
O20240224-001283,2024-02-24,S04,P041,1,38000,0.0,38000,11400
O20240224-001284,2024-02-24,S06,P015,2,69000,0.0,138000,55200
O20240224-001285,2024-02-24,S07,P003,1,459000,0.0,459000,321300
O20240224-001286,2024-02-24,S07,P015,1,69000,0.0,69000,27600
O20240224-001287,2024-02-24,S07,P028,3,89000,0.0,267000,133500
O20240224-001288,2024-02-24,S07,P043,3,45000,0.1,121500,37800
O20240224-001289,2024-02-24,S08,P026,1,12900,0.05,12255,6192
O20240224-001290,2024-02-24,S09,P011,1,129000,0.1,116100,58050
O20240224-001291,2024-02-24,S09,P044,1,42000,0.1,37800,13860
O20240224-001292,2024-02-24,S10,P017,1,89000,0.05,84550,39160
O20240224-001293,2024-02-24,S12,P037,2,27000,0.0,54000,21600
O20240224-001294,2024-02-24,S15,P023,3,42000,0.0,126000,83160
O20240224-001295,2024-02-24,S16,P021,4,159000,0.0,636000,445200
O20240224-001296,2024-02-24,S17,P013,1,59000,0.3,41300,23600
O20240224-001297,2024-02-24,S18,P023,1,42000,0.1,37800,27720
O20240224-001298,2024-02-24,S18,P041,1,38000,0.0,38000,11400
O20240224-001299,2024-02-24,ON1,P005,1,149000,0.0,149000,101320
O20240224-001300,2024-02-24,ON1,P026,1,12900,0.05,12255,6192
O20240224-001301,2024-02-24,ON1,P032,3,29900,0.0,89700,40365
O20240224-001302,2024-02-24,ON1,P041,4,38000,0.2,121600,45600
O20240224-001303,2024-02-24,ON2,P011,2,129000,0.0,258000,116100
O20240224-001304,2024-02-24,ON2,P047,2,15000,0.1,27000,10200
O20240225-001305,2024-02-25,S01,P014,1,45000,0.0,45000,17100
O20240225-001306,2024-02-25,S02,P018,1,79000,0.2,63200,32390
O20240225-001307,2024-02-25,S03,P037,2,27000,0.1,48600,21600
O20240225-001308,2024-02-25,S03,P047,1,15000,0.0,15000,5100
O20240225-001309,2024-02-25,S07,P015,2,69000,0.0,138000,55200
O20240225-001310,2024-02-25,S07,P034,3,69000,0.3,144900,95220
O20240225-001311,2024-02-25,S09,P038,1,49000,0.0,49000,23030
O20240225-001312,2024-02-25,S09,P044,4,42000,0.0,168000,55440
O20240225-001313,2024-02-25,S10,P046,1,16900,0.0,16900,6084
O20240225-001314,2024-02-25,S12,P031,3,79000,0.05,225150,113760
O20240225-001315,2024-02-25,S14,P008,1,129000,0.0,129000,79980
O20240225-001316,2024-02-25,S15,P001,1,2190000,0.2,1752000,1708200
O20240225-001317,2024-02-25,S15,P028,5,89000,0.0,445000,222500
O20240225-001318,2024-02-25,S16,P018,1,79000,0.0,79000,32390
O20240225-001319,2024-02-25,S16,P022,1,29000,0.05,27550,17980
O20240225-001320,2024-02-25,S17,P012,2,189000,0.0,378000,158760
O20240225-001321,2024-02-25,ON1,P038,1,49000,0.2,39200,23030
O20240225-001322,2024-02-25,ON1,P044,1,42000,0.05,39900,13860
O20240225-001323,2024-02-25,ON2,P011,2,129000,0.0,258000,116100
O20240225-001324,2024-02-25,ON2,P037,1,27000,0.05,25650,10800
O20240225-001325,2024-02-25,ON2,P043,3,45000,0.05,128250,37800
O20240226-001326,2024-02-26,S01,P013,1,59000,0.05,56050,23600
O20240226-001327,2024-02-26,S01,P025,2,24900,0.1,44820,28884
O20240226-001328,2024-02-26,S02,P011,1,129000,0.0,129000,58050
O20240226-001329,2024-02-26,S02,P033,2,18900,0.05,35910,20790
O20240226-001330,2024-02-26,S02,P045,1,29000,0.0,29000,8700
O20240226-001331,2024-02-26,S04,P016,1,119000,0.0,119000,59500
O20240226-001332,2024-02-26,S04,P044,1,42000,0.1,37800,13860
O20240226-001333,2024-02-26,S07,P032,1,29900,0.0,29900,13455
O20240226-001334,2024-02-26,S10,P023,4,42000,0.0,168000,110880
O20240226-001335,2024-02-26,S13,P036,1,32000,0.0,32000,11200
O20240226-001336,2024-02-26,S15,P048,2,98000,0.0,196000,74480
O20240226-001337,2024-02-26,S16,P048,2,98000,0.0,196000,74480
O20240226-001338,2024-02-26,S18,P047,3,15000,0.05,42750,15300
O20240226-001339,2024-02-26,ON1,P015,2,69000,0.0,138000,55200
O20240226-001340,2024-02-26,ON1,P028,1,89000,0.0,89000,44500
O20240226-001341,2024-02-26,ON1,P038,1,49000,0.0,49000,23030
O20240226-001342,2024-02-26,ON2,P003,1,459000,0.1,413100,321300
O20240227-001343,2024-02-27,S01,P038,1,49000,0.0,49000,23030
O20240227-001344,2024-02-27,S01,P041,1,38000,0.0,38000,11400
O20240227-001345,2024-02-27,S03,P012,1,189000,0.0,189000,79380
O20240227-001346,2024-02-27,S06,P016,1,119000,0.0,119000,59500
O20240227-001347,2024-02-27,S08,P016,1,119000,0.0,119000,59500
O20240227-001348,2024-02-27,S08,P047,1,15000,0.0,15000,5100
O20240227-001349,2024-02-27,S09,P042,1,22000,0.0,22000,7040
O20240227-001350,2024-02-27,S11,P027,1,8900,0.0,8900,4628
O20240227-001351,2024-02-27,S11,P034,1,69000,0.0,69000,31740
O20240227-001352,2024-02-27,S12,P017,2,89000,0.0,178000,78320
O20240227-001353,2024-02-27,S12,P028,1,89000,0.05,84550,44500
O20240227-001354,2024-02-27,S13,P025,1,24900,0.0,24900,14442
O20240227-001355,2024-02-27,S16,P014,1,45000,0.0,45000,17100
O20240227-001356,2024-02-27,ON1,P015,2,69000,0.0,138000,55200
O20240227-001357,2024-02-27,ON1,P022,1,29000,0.0,29000,17980
O20240227-001358,2024-02-27,ON2,P013,3,59000,0.0,177000,70800
O20240227-001359,2024-02-27,ON2,P022,2,29000,0.05,55100,35960
O20240227-001360,2024-02-27,ON2,P037,1,27000,0.0,27000,10800
O20240228-001361,2024-02-28,S01,P017,1,89000,0.05,84550,39160
O20240228-001362,2024-02-28,S01,P044,1,42000,0.2,33600,13860
O20240228-001363,2024-02-28,S02,P018,2,79000,0.0,158000,64780
O20240228-001364,2024-02-28,S03,P016,1,119000,0.1,107100,59500
O20240228-001365,2024-02-28,S06,P017,2,89000,0.0,178000,78320
O20240228-001366,2024-02-28,S06,P043,1,45000,0.0,45000,12600
O20240228-001367,2024-02-28,S07,P042,1,22000,0.0,22000,7040
O20240228-001368,2024-02-28,S08,P013,1,59000,0.0,59000,23600
O20240228-001369,2024-02-28,S09,P025,4,24900,0.0,99600,57768
O20240228-001370,2024-02-28,S09,P034,1,69000,0.1,62100,31740
O20240228-001371,2024-02-28,S09,P042,2,22000,0.2,35200,14080
O20240228-001372,2024-02-28,S10,P013,3,59000,0.05,168150,70800
O20240228-001373,2024-02-28,ON2,P028,1,89000,0.1,80100,44500
O20240228-001374,2024-02-28,ON2,P037,1,27000,0.0,27000,10800
O20240229-001375,2024-02-29,S03,P013,2,59000,0.0,118000,47200
O20240229-001376,2024-02-29,S04,P007,1,219000,0.05,208050,140160
O20240229-001377,2024-02-29,S04,P041,2,38000,0.0,76000,22800
O20240229-001378,2024-02-29,S06,P047,1,15000,0.05,14250,5100
O20240229-001379,2024-02-29,S07,P027,4,8900,0.0,35600,18512
O20240229-001380,2024-02-29,S07,P035,1,15900,0.05,15105,6678
O20240229-001381,2024-02-29,S08,P008,1,129000,0.1,116100,79980
O20240229-001382,2024-02-29,S10,P036,2,32000,0.0,64000,22400
O20240229-001383,2024-02-29,S10,P048,1,98000,0.0,98000,37240
O20240229-001384,2024-02-29,S12,P047,5,15000,0.3,52500,25500
O20240229-001385,2024-02-29,S13,P015,1,69000,0.1,62100,27600
O20240229-001386,2024-02-29,S15,P014,3,45000,0.0,135000,51300
O20240229-001387,2024-02-29,S16,P037,1,27000,0.0,27000,10800
O20240229-001388,2024-02-29,ON1,P035,2,15900,0.0,31800,13356
O20240229-001389,2024-02-29,ON2,P031,1,79000,0.3,55300,37920
O20240229-001390,2024-02-29,ON2,P045,3,29000,0.0,87000,26100
O20240301-001391,2024-03-01,S01,P014,1,45000,0.0,45000,17100
O20240301-001392,2024-03-01,S01,P028,1,89000,0.2,71200,44500
O20240301-001393,2024-03-01,S01,P036,2,32000,0.05,60800,22400
O20240301-001394,2024-03-01,S02,P014,2,45000,0.0,90000,34200
O20240301-001395,2024-03-01,S02,P036,1,32000,0.0,32000,11200
O20240301-001396,2024-03-01,S03,P023,4,42000,0.0,168000,110880
O20240301-001397,2024-03-01,S03,P032,1,29900,0.0,29900,13455
O20240301-001398,2024-03-01,S03,P046,4,16900,0.0,67600,24336
O20240301-001399,2024-03-01,S04,P023,3,42000,0.0,126000,83160
O20240301-001400,2024-03-01,S04,P045,2,29000,0.0,58000,17400
O20240301-001401,2024-03-01,S06,P015,1,69000,0.0,69000,27600
O20240301-001402,2024-03-01,S07,P023,2,42000,0.0,84000,55440
O20240301-001403,2024-03-01,S07,P043,2,45000,0.1,81000,25200
O20240301-001404,2024-03-01,S08,P027,4,8900,0.2,28480,18512
O20240301-001405,2024-03-01,S09,P026,3,12900,0.0,38700,18576
O20240301-001406,2024-03-01,S09,P036,3,32000,0.0,96000,33600
O20240301-001407,2024-03-01,S10,P015,1,69000,0.0,69000,27600
O20240301-001408,2024-03-01,S10,P026,1,12900,0.0,12900,6192
O20240301-001409,2024-03-01,S17,P011,1,129000,0.0,129000,58050
O20240301-001410,2024-03-01,ON1,P008,1,129000,0.05,122550,79980
O20240301-001411,2024-03-01,ON1,P027,1,8900,0.0,8900,4628
O20240301-001412,2024-03-01,ON1,P034,3,69000,0.2,165600,95220
O20240301-001413,2024-03-01,ON1,P042,5,22000,0.0,110000,35200
O20240301-001414,2024-03-01,ON2,P001,1,2190000,0.0,2190000,1708200
O20240301-001415,2024-03-01,ON2,P011,1,129000,0.0,129000,58050
O20240301-001416,2024-03-01,ON2,P025,2,24900,0.0,49800,28884
O20240301-001417,2024-03-01,ON2,P034,1,69000,0.2,55200,31740
O20240302-001418,2024-03-02,S01,P028,1,89000,0.0,89000,44500
O20240302-001419,2024-03-02,S02,P015,1,69000,0.0,69000,27600
O20240302-001420,2024-03-02,S04,P014,2,45000,0.05,85500,34200
O20240302-001421,2024-03-02,S06,P012,1,189000,0.0,189000,79380
O20240302-001422,2024-03-02,S06,P035,1,15900,0.0,15900,6678
O20240302-001423,2024-03-02,S07,P003,1,459000,0.05,436050,321300
O20240302-001424,2024-03-02,S09,P028,2,89000,0.0,178000,89000
